"CMD_MIL_AREA","UF","MUNICIPIO","ENTIDADE","CURSO","LOCAL","INICIO","TERMINO","CARGA_HORARIA","EFETIVO_INICIAL","EFETIVO_FINAL","VALOR_HORA_AULA","VALOR_TOTAL",,
"CMO","MS","Campo Grande","SENAI","PINTOR DE OBRAS","CMO",4-jul,10-ago,180,22,22,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAI","APLICADOR DE REVESTIMENTOS CERÂMICOS","CMO",16-mai,20-jul,160,20,20,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","PROCESSAMENTO CASEIRO DO MILHO","CMO",12-abr,14-abr,24,12,12,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","BENEFICIAMENTO E TRANSFORMAÇÃO CASEIRA DA MANDIOCA","CMO",17-mai,19-mai,24,12,12,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","PROCESSAMENTO CASEIRO DO TOMATE","CMO",31-mai,2-jun,24,11,11,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","FABRICAÇÃO CASEIRA DE DERIVADOS DO LEITE","CMO",7-jun,9-jun,24,13,13,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","CONTROLE DE FORMIGAS CORTADEIRAS","CMO",28-jun,29-jun,16,12,12,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","CONTROLE DE FORMIGAS CORTADEIRAS -EXTRA","CMO",5-jul,6-jul,16,12,12,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","OPERAÇÃO E MANUTENÇÃO DE MOTOSSERRA","CMO",12-jul,14-jul,24,14,14,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","INVENTÁRIO, PODA E DESBASTE EM CULTIVO FLORESTAL","CMO",19-jul,21-jul,24,12,12,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","REGULAGEM E UTILIZAÇÃO DE PULVERIZADOR (COSTAL/MANUAL)","CMO",26-jul,27-jul,16,10,10,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","OPERAÇÃO E MANUTENÇÃO DE MOTOSSERRA","CMO",9-ago,11-ago,24,12,12,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","SENAR","OPERAÇÃO E MANUTENÇÃO DE MOTOSSERRA","CMO",18-out,20-out,24,24,24,"R$ 0,00","R$ 0,00",,
